epoch,model,aug_type,aug,vcp,loss,val_loss,accuracy,val_accuracy,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
199,cnn,translation,0.0,0.0,1.5861722886256757e-06,0.5534942746162415,1.0,0.9559166431427002,,,,,,,,,
200,cnn,translation,0.0,0.0,1.4039882216820843e-06,0.5573019981384277,1.0,0.9555000066757202,,,,,,,,,
201,cnn,translation,0.0,0.0,1.2290776112422463e-06,0.5618216395378113,1.0,0.9557499885559082,,,,,,,,,
202,cnn,translation,0.0,0.0,1.0744536211859668e-06,0.5674628019332886,1.0,0.9556666612625122,,,,,,,,,
203,cnn,translation,0.0,0.0,9.450387210563349e-07,0.5716230273246765,1.0,0.9552499651908875,,,,,,,,,
204,cnn,translation,0.0,0.0,8.280097745227977e-07,0.5762824416160583,1.0,0.9557499885559082,,,,,,,,,
205,cnn,translation,0.0,0.0,7.268856734299334e-07,0.5843909978866577,1.0,0.9550833106040955,,,,,,,,,
206,cnn,translation,0.0,0.0,6.338710818454274e-07,0.5872107148170471,1.0,0.9555000066757202,,,,,,,,,
207,cnn,translation,0.0,0.0,5.548962462853524e-07,0.5903074145317078,1.0,0.9558333158493042,,,,,,,,,
208,cnn,translation,0.0,0.0,4.832435251955758e-07,0.5961563587188721,1.0,0.956166684627533,,,,,,,,,
209,cnn,translation,0.0,0.0,4.2451134163457027e-07,0.602258563041687,1.0,0.9555833339691162,,,,,,,,,
210,cnn,translation,0.0,0.0,3.712955560786213e-07,0.6054874062538147,1.0,0.9552499651908875,,,,,,,,,
211,cnn,translation,0.0,0.0,3.2453067433380056e-07,0.6135275363922119,1.0,0.9557499885559082,,,,,,,,,
212,cnn,translation,0.0,0.0,0.19641676545143127,0.3699566721916199,0.9677291512489319,0.953000009059906,,,,,,,,,
213,cnn,translation,0.0,0.0,0.0022607040591537952,0.3823719322681427,0.9998124837875366,0.9538333415985107,,,,,,,,,
214,cnn,translation,0.0,0.0,0.0007815241697244346,0.3893933594226837,1.0,0.953000009059906,,,,,,,,,
215,cnn,translation,0.0,0.0,0.00046493657282553613,0.3961048424243927,1.0,0.953499972820282,,,,,,,,,
216,cnn,translation,0.0,0.0,0.00033980165608227253,0.4036999046802521,1.0,0.953583300113678,,,,,,,,,
217,cnn,translation,0.0,0.0,0.0002579110150691122,0.4098830223083496,1.0,0.95333331823349,,,,,,,,,
218,cnn,translation,0.0,0.0,0.00020197351113893092,0.4165576994419098,1.0,0.953499972820282,,,,,,,,,
219,cnn,translation,0.0,0.0,0.00015903744497336447,0.42206335067749023,1.0,0.9537500143051147,,,,,,,,,
220,cnn,translation,0.0,0.0,0.0001272768568014726,0.4282435178756714,1.0,0.953499972820282,,,,,,,,,
221,cnn,translation,0.0,0.0,0.00010278190893586725,0.43365123867988586,1.0,0.9538333415985107,,,,,,,,,
222,cnn,translation,0.0,0.0,8.3180122601334e-05,0.43861123919487,1.0,0.9539999961853027,,,,,,,,,
223,cnn,translation,0.0,0.0,6.777632370358333e-05,0.4441700279712677,1.0,0.9543333053588867,,,,,,,,,
224,cnn,translation,0.0,0.0,5.555449752137065e-05,0.44946667551994324,1.0,0.9546666741371155,,,,,,,,,
225,cnn,translation,0.0,0.0,4.557820284389891e-05,0.45432496070861816,1.0,0.9549166560173035,,,,,,,,,
226,cnn,translation,0.0,0.0,3.746966103790328e-05,0.4592442512512207,1.0,0.9548333287239075,,,,,,,,,
227,cnn,translation,0.0,0.0,3.099682726315223e-05,0.4644107222557068,1.0,0.9549166560173035,,,,,,,,,
